r_km,obs,theo,lo,hi,Statut
1018.5398140772719,NA,1018539.8140772718,NA,NA,Compatible avec le hasard
1022.3833605454879,NA,1022383.360545488,NA,NA,Compatible avec le hasard
1026.226907013704,NA,1026226.9070137041,NA,NA,Compatible avec le hasard
1030.0704534819201,NA,1030070.4534819202,NA,NA,Compatible avec le hasard
1033.9139999501363,NA,1033913.9999501363,NA,NA,Compatible avec le hasard
1037.7575464183524,NA,1037757.5464183525,NA,NA,Compatible avec le hasard
1041.6010928865685,NA,1041601.0928865685,NA,NA,Compatible avec le hasard
1045.4446393547846,NA,1045444.6393547846,NA,NA,Compatible avec le hasard
1049.2881858230007,NA,1049288.1858230007,NA,NA,Compatible avec le hasard
1053.1317322912168,NA,1053131.732291217,NA,NA,Compatible avec le hasard
1056.975278759433,NA,1056975.278759433,NA,NA,Compatible avec le hasard
1060.818825227649,NA,1060818.8252276492,NA,NA,Compatible avec le hasard
1064.6623716958652,NA,1064662.3716958652,NA,NA,Compatible avec le hasard
1068.5059181640813,NA,1068505.9181640814,NA,NA,Compatible avec le hasard
1072.3494646322974,NA,1072349.4646322974,NA,NA,Compatible avec le hasard
1076.1930111005136,NA,1076193.0111005136,NA,NA,Compatible avec le hasard
1080.0365575687297,NA,1080036.5575687296,NA,NA,Compatible avec le hasard
1083.8801040369458,NA,1083880.1040369458,NA,NA,Compatible avec le hasard
1087.7236505051621,NA,1087723.650505162,NA,NA,Compatible avec le hasard
1091.567196973378,NA,1091567.196973378,NA,NA,Compatible avec le hasard
1095.4107434415944,NA,1095410.7434415943,NA,NA,Compatible avec le hasard
1099.2542899098103,NA,1099254.2899098103,NA,NA,Compatible avec le hasard
1103.0978363780266,NA,1103097.8363780265,NA,NA,Compatible avec le hasard
1106.9413828462425,NA,1106941.3828462425,NA,NA,Compatible avec le hasard
1110.7849293144589,NA,1110784.9293144587,NA,NA,Compatible avec le hasard
1114.6284757826747,NA,1114628.4757826747,NA,NA,Compatible avec le hasard
1118.4720222508909,NA,1118472.022250891,NA,NA,Compatible avec le hasard
1122.315568719107,NA,1122315.568719107,NA,NA,Compatible avec le hasard
1126.159115187323,NA,1126159.1151873232,NA,NA,Compatible avec le hasard
1130.0026616555392,NA,1130002.6616555392,NA,NA,Compatible avec le hasard
1133.8462081237553,NA,1133846.2081237554,NA,NA,Compatible avec le hasard
1137.6897545919717,NA,1137689.7545919716,NA,NA,Compatible avec le hasard
