Birthplace,Country,NbJoueurs,latitude,longitude
"St. Cloud, MN, USA",USA,5,45.5616075,-94.1642004
"St. Thomas, ON, Canada",Canada,5,42.779022,-81.1929882
"Sterling Heights, MI, USA",USA,5,42.5803122,-83.0302033
"Temiscaming, QC, Canada",Canada,5,46.7219118,-79.0954543
"Terrace, BC, Canada",Canada,5,54.5172715,-128.599548
"Thetford Mines, QC, Canada",Canada,5,46.091329,-71.30127
"Tolyatti, Russia",Russia,5,53.5098845,49.4189187
"Val-d'Or, QC, Canada",Canada,5,48.1023356,-77.7875715
"Vermilion, AB, Canada",Canada,5,53.3527093,-110.8542072
"Waltham, MA, USA",USA,5,42.3762385,-71.2355644
"Wetaskiwin, AB, Canada",Canada,5,52.968492,-113.36792
"Winchester, ON, Canada",Canada,5,45.0928774,-75.35299
"Yekaterinburg, Russia",Russia,5,56.8382071,60.6007886
"Airdrie, AB, Canada",Canada,4,51.28597,-114.01062
"Baie-Comeau, QC, Canada",Canada,4,49.2118373,-68.1801406
"Barnaul, Russia",Russia,4,53.3475493,83.7788448
"Blainville, QC, Canada",Canada,4,45.67932,-73.87619
"Bloomfield Hills, MI, USA",USA,4,42.583645,-83.2454883
"Bonnyville, AB, Canada",Canada,4,54.267925,-110.741515
"Canton, MI, USA",USA,4,32.612602,-90.0367512
"Carmel, IN, USA",USA,4,39.9784186,-86.1283681
"Chambly, QC, Canada",Canada,4,45.4483467,-73.2936944
"Chesley, ON, Canada",Canada,4,44.29874,-81.0952892
"Cold Lake, AB, Canada",Canada,4,54.46046,-110.192871
"Corner Brook, NL, Canada",Canada,4,48.95317,-57.947388
"Creston, BC, Canada",Canada,4,49.0974046,-116.5130934
"Danderyd, Sweden",Sweden,4,59.4043647,18.0358505
"Dawson Creek, BC, Canada",Canada,4,55.7605306,-120.2364453
"Delta, BC, Canada",Canada,4,49.0846258,-123.057938
"Dorchester, MA, USA",USA,4,42.2973205,-71.0744952
"Eau Claire, WI, USA",USA,4,44.811349,-91.4984941
"Elk River, MN, USA",USA,4,45.3038538,-93.5671825
"Espanola, ON, Canada",Canada,4,46.265341,-81.769867
"Essex, ON, Canada",Canada,4,42.2354142,-82.7120106
"Evanston, IL, USA",USA,4,42.0470043,-87.6846053
"Farmington Hills, MI, USA",USA,4,42.4853125,-83.3771553
"Fort Saint James, BC, Canada",Canada,4,54.3942513,-124.2617051
"Glasgow, Scotland",Scotland,4,55.861155,-4.2501687
"Goderich, ON, Canada",Canada,4,43.7430924,-81.7110949
