Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Victoriaville, QC, Canada","Victoriaville, QC, Canada",Canada,8,46.0554948,-71.9598586
"Zurich, Switzerland","Zurich, Switzerland",Switzerland,8,47.3744489,8.5410422
"Ajax, ON, Canada","Ajax, ON, Canada",Canada,7,43.8505287,-79.0208814
"Cambridge, MA, USA","Cambridge, MA, USA",USA,7,42.3656347,-71.1040018
"Canmore, AB, Canada","Canmore, AB, Canada",Canada,7,51.0866897,-115.3481135
"Eden Prairie, MN, USA","Eden Prairie, MN, USA",USA,7,44.8546856,-93.470786
"Estevan, SK, Canada","Estevan, SK, Canada",Canada,7,49.1428076,-102.991075
"Hawkesbury, ON, Canada","Hawkesbury, ON, Canada",Canada,7,45.610281,-74.6055611
"Kazan, Russia","Kazan, Russia",Russia,7,55.7946485,49.1115022
"Kindersley, SK, Canada","Kindersley, SK, Canada",Canada,7,51.4687094,-109.1581355
"La Salle, QC, Canada","La Salle, QC, Canada",Canada,7,45.5133304,-73.4922268
"Lahti, Finland","Lahti, Finland",Finland,7,60.982628,25.6613418
"Lakeville, MN, USA","Lakeville, MN, USA",USA,7,44.650051,-93.2432791
"Listowel, ON, Canada","Listowel, ON, Canada",Canada,7,43.731593,-80.952882
"Lloydminster, AB, Canada","Lloydminster, AB, Canada",Canada,7,53.279995,-110.00885
"Malmo, Sweden","Malmo, Sweden",Sweden,7,55.6052931,13.0001566
"Meadow Lake, SK, Canada","Meadow Lake, SK, Canada",Canada,7,54.13026,-108.435059
"Melrose, MA, USA","Melrose, MA, USA",USA,7,42.4564323,-71.064182
"New Haven, CT, USA","New Haven, CT, USA",USA,7,41.3082138,-72.9250518
"New Liskeard, ON, Canada","New Liskeard, ON, Canada",Canada,7,47.508731,-79.6789029
"Parry Sound, ON, Canada","Parry Sound, ON, Canada",Canada,7,45.6675279,-80.1055284
"Pointe-Claire, QC, Canada","Pointe-Claire, QC, Canada",Canada,7,45.4566767,-73.8067442
"Port Colborne, ON, Canada","Port Colborne, ON, Canada",Canada,7,42.8862392,-79.2513905
"Renfrew, ON, Canada","Renfrew, ON, Canada",Canada,7,45.7300564,-77.2793698
"Simcoe, ON, Canada","Simcoe, ON, Canada",Canada,7,44.5014007,-79.7038708
"Spokane, WA, USA","Spokane, WA, USA",USA,7,47.6571934,-117.42351
"Sundsvall, Sweden","Sundsvall, Sweden",Sweden,7,62.3907552,17.3071024
"Trenton, ON, Canada","Trenton, ON, Canada",Canada,7,44.1019126,-77.57539
"Virginia, MN, USA","Virginia, MN, USA",USA,7,47.52326,-92.536571
"Waterloo, ON, Canada","Waterloo, ON, Canada",Canada,7,43.4652699,-80.5222961
"Weymouth, MA, USA","Weymouth, MA, USA",USA,7,42.2212188,-70.9391625
"Woodbridge, ON, Canada","Woodbridge, ON, Canada",Canada,7,43.7848982,-79.5923855
"Zlin, Czech Republic","Zlin, Czech Republic",Czech Republic,7,49.226766,17.6667415
"Antigonish, NS, Canada","Antigonish, NS, Canada",Canada,6,45.6213607,-61.9904928
"Banska Bystrica, Slovakia","Banska Bystrica, Slovakia",Slovakia,6,48.735429,19.1457338
"Bowmanville, ON, Canada","Bowmanville, ON, Canada",Canada,6,43.9122995,-78.6891675
"Camrose, AB, Canada","Camrose, AB, Canada",Canada,6,53.013131,-112.840576
"Castlegar, BC, Canada","Castlegar, BC, Canada",Canada,6,49.316171,-117.663574
"Cherepovets, Russia","Cherepovets, Russia",Russia,6,59.1242181,37.9123351
"Cranston, RI, USA","Cranston, RI, USA",USA,6,41.779588,-71.4366813
"Delisle, SK, Canada","Delisle, SK, Canada",Canada,6,51.9230936,-107.1354
"Fargo, ND, USA","Fargo, ND, USA",USA,6,46.877229,-96.789821
"Fergus, ON, Canada","Fergus, ON, Canada",Canada,6,43.7059439,-80.3779366
"Fernie, BC, Canada","Fernie, BC, Canada",Canada,6,49.5041747,-115.062867
"Fort Erie, ON, Canada","Fort Erie, ON, Canada",Canada,6,42.91308,-78.918611
"Fort Saskatchewan, AB, Canada","Fort Saskatchewan, AB, Canada",Canada,6,53.7128571,-113.214894
"Georgetown, ON, Canada","Georgetown, ON, Canada",Canada,6,43.6553828,-79.9190449
"Glace Bay, NS, Canada","Glace Bay, NS, Canada",Canada,6,46.1949393,-59.9561999
"Grand Forks, ND, USA","Grand Forks, ND, USA",USA,6,47.9252104,-97.0306325
"Grande Prairie, AB, Canada","Grande Prairie, AB, Canada",Canada,6,55.17108,-118.7949873
"Humboldt, SK, Canada","Humboldt, SK, Canada",Canada,6,52.202009,-105.1230368
"Keswick, ON, Canada","Keswick, ON, Canada",Canada,6,44.2396166,-79.4686558
"Kincardine, ON, Canada","Kincardine, ON, Canada",Canada,6,44.1776378,-81.6348713
"Langley, BC, Canada","Langley, BC, Canada",Canada,6,49.1039289,-122.657047
"Lappeenranta, Finland","Lappeenranta, Finland",Finland,6,61.0583417,28.1862293
"Leamington, ON, Canada","Leamington, ON, Canada",Canada,6,42.0531385,-82.5997722
"Liptovsky Mikulas, Slovakia","Liptovsky Mikulas, Slovakia",Slovakia,6,49.0835785,19.612785
"Long Beach, CA, USA","Long Beach, CA, USA",USA,6,33.7690164,-118.191604
"Magnitogorsk, Russia","Magnitogorsk, Russia",Russia,6,53.4256867,59.0507322
"Milton, ON, Canada","Milton, ON, Canada",Canada,6,43.513671,-79.882817
"Minnetonka, MN, USA","Minnetonka, MN, USA",USA,6,44.9405086,-93.4638936
"Murmansk, Russia","Murmansk, Russia",Russia,6,68.970665,33.07497
"Novosibirsk, Russia","Novosibirsk, Russia",Russia,6,55.0288307,82.9226887
"Oslo, Norway","Oslo, Norway",Norway,6,59.9133301,10.7389701
"Ostersund, Sweden","Ostersund, Sweden",Sweden,6,63.1793655,14.6357061
"Penza, Russia","Penza, Russia",Russia,6,53.1937836,45.0067413
"Perth, ON, Canada","Perth, ON, Canada",Canada,6,43.4935991,-81.0164111
"Philadelphia, PA, USA","Philadelphia, PA, USA",USA,6,39.9527237,-75.1635262
"Rauma, Finland","Rauma, Finland",Finland,6,61.1289148,21.5039401
"Schumacher, ON, Canada","Schumacher, ON, Canada",Canada,6,48.4768905,-81.2982223
"Seaforth, ON, Canada","Seaforth, ON, Canada",Canada,6,43.5534328,-81.3934183
"Sodertalje, Sweden","Sodertalje, Sweden",Sweden,6,59.1964289,17.6271663
"Spruce Grove, AB, Canada","Spruce Grove, AB, Canada",Canada,6,53.545204,-113.903503
"Stoney Creek, ON, Canada","Stoney Creek, ON, Canada",Canada,6,43.2167526,-79.7567616
"Strathroy, ON, Canada","Strathroy, ON, Canada",Canada,6,42.9549523,-81.6224961
"Togliatti, Russia","Togliatti, Russia",Russia,6,53.5098845,49.4189187
"Trenton, MI, USA","Trenton, MI, USA",USA,6,42.1406552,-83.1800544
"Uppsala, Sweden","Uppsala, Sweden",Sweden,6,59.8586126,17.6387436
"Valleyfield, QC, Canada","Valleyfield, QC, Canada",Canada,6,45.2555575,-74.1316718
"Weston, ON, Canada","Weston, ON, Canada",Canada,6,43.7000465,-79.5127589
"Winchester, MA, USA","Winchester, MA, USA",USA,6,42.4523178,-71.1369982
"Zvolen, Slovakia","Zvolen, Slovakia",Slovakia,6,48.5782517,19.1247135
"Bern, Switzerland","Bern, Switzerland",Switzerland,5,46.9484742,7.4521749
"Bracebridge, ON, Canada","Bracebridge, ON, Canada",Canada,5,45.041508,-79.310989
"Buckingham, QC, Canada","Buckingham, QC, Canada",Canada,5,45.5864671,-75.4168252
"Campbell River, BC, Canada","Campbell River, BC, Canada",Canada,5,50.023071,-125.244153
"Campbellton, NB, Canada","Campbellton, NB, Canada",Canada,5,48.0046634,-66.6765986
"Columbus, OH, USA","Columbus, OH, USA",USA,5,39.9622601,-83.0007065
"Copper Cliff, ON, Canada","Copper Cliff, ON, Canada",Canada,5,46.4676274,-81.0661744
"Deloraine, MB, Canada","Deloraine, MB, Canada",Canada,5,49.1926295,-100.4945182
"Duncan, BC, Canada","Duncan, BC, Canada",Canada,5,48.7786872,-123.7080446
"Edinburgh, Scotland","Edinburgh, Scotland",Scotland,5,55.9533456,-3.1883749
"Etobicoke, ON, Canada","Etobicoke, ON, Canada",Canada,5,43.6435559,-79.5656326
"Farmington, MI, USA","Farmington, MI, USA",USA,5,42.4644795,-83.3763219
"Fort McMurray, AB, Canada","Fort McMurray, AB, Canada",Canada,5,56.7291997,-111.3885221
"Framingham, MA, USA","Framingham, MA, USA",USA,5,42.2773177,-71.4165905
"Fredericton, NB, Canada","Fredericton, NB, Canada",Canada,5,45.9488278,-66.6291827
"Greenfield Park, QC, Canada","Greenfield Park, QC, Canada",Canada,5,45.4926624,-73.4870499
"Hartford, CT, USA","Hartford, CT, USA",USA,5,41.764582,-72.6908547
"Herning, Denmark","Herning, Denmark",Denmark,5,56.1379757,8.9746623
"Hradec Kralove, Czech Republic","Hradec Kralove, Czech Republic",Czech Republic,5,50.2092113,15.8327512
"Jonkoping, Sweden","Jonkoping, Sweden",Sweden,5,57.7825634,14.165719
"Kapuskasing, ON, Canada","Kapuskasing, ON, Canada",Canada,5,49.416667,-82.433333
"Litvinov, Czech Republic","Litvinov, Czech Republic",Czech Republic,5,50.6009532,13.6110485
"Ljungby, Sweden","Ljungby, Sweden",Sweden,5,56.8325886,13.9359916
"Los Angeles, CA, USA","Los Angeles, CA, USA",USA,5,34.0536909,-118.242766
"Martin, Slovakia","Martin, Slovakia",Slovakia,5,49.0724921,18.929193
"Meaford, ON, Canada","Meaford, ON, Canada",Canada,5,44.6069298,-80.5916531
"Mimico, ON, Canada","Mimico, ON, Canada",Canada,5,43.6166773,-79.4968048
"Mlada Boleslav, Czech Republic","Mlada Boleslav, Czech Republic",Czech Republic,5,50.4116187,14.9031301
"Nanaimo, BC, Canada","Nanaimo, BC, Canada",Canada,5,49.163877,-123.938122
"Neepawa, MB, Canada","Neepawa, MB, Canada",Canada,5,50.2284172,-99.4664008
"Nelson, BC, Canada","Nelson, BC, Canada",Canada,5,49.494891,-117.290039
"New Glasgow, NS, Canada","New Glasgow, NS, Canada",Canada,5,45.5869474,-62.6483547
"Nitra, Slovakia","Nitra, Slovakia",Slovakia,5,48.31295,18.0894593
"Nizhny Tagil, Russia","Nizhny Tagil, Russia",Russia,5,57.9076001,59.97077
"Novokuznetsk, Russia","Novokuznetsk, Russia",Russia,5,53.7582436,87.14653
"Peace River, AB, Canada","Peace River, AB, Canada",Canada,5,56.2337111,-117.2910839
"Penetanguishene, ON, Canada","Penetanguishene, ON, Canada",Canada,5,44.7688035,-79.9339487
"Penticton, BC, Canada","Penticton, BC, Canada",Canada,5,49.5003268,-119.593249
